age group,home team,away team,court number,date and time
Under 14's,Durham,AP Saints,Court 3,26/04/2026 12:50
Under 15's,Magic,AP Saints,Court 4,26/04/2026 12:50
Under 12's,MK Dons,Clan,Court 1,26/04/2026 13:00
Under 13's,Hatfield,Poole,Court 2,26/04/2026 13:00
Under 14's,Little Sutton,Wodson Park,Court 3,26/04/2026 13:00
Under 15's,MK Dons,Real Beds,Court 4,26/04/2026 13:00
Under 13's,MK Dons,Eagles,Court 2,26/04/2026 13:10
Under 14's,MK Dons,Turnford Black,Court 3,26/04/2026 13:10
Under 15's,Wodson Park,Clan,Court 4,26/04/2026 13:10
Under 12's,Little Sutton,Magic,Court 1,26/04/2026 13:20
Under 13's,Real Beds,Blaze Elite,Court 2,26/04/2026 13:20
Under 14's,Real Beds,AP Saints,Court 3,26/04/2026 13:20
Under 15's,Durham,Blaze Elite,Court 4,26/04/2026 13:20
Under 13's,Swan,Barr Beacon,Court 2,26/04/2026 13:30
Under 14's,Durham,Hatfield,Court 3,26/04/2026 13:30
Under 15's,Marlow Kites Wildcats,AP Saints,Court 4,26/04/2026 13:30
Under 12's,Durham,AP Saints,Court 1,26/04/2026 13:40
Under 13's,Poole,Magic,Court 2,26/04/2026 13:40
Under 14's,Wodson Park,Magic,Court 3,26/04/2026 13:40
Under 15's,Swan,Wodson Park,Court 4,26/04/2026 13:40
Under 13's,MK Dons,Blaze Elite,Court 2,26/04/2026 13:50
Under 14's,MK Dons,AP Saints,Court 3,26/04/2026 13:50
Under 15's,MK Dons,Clan,Court 4,26/04/2026 13:50
Under 12's,Clan,Magic,Court 1,26/04/2026 14:00
Under 13's,Hatfield,Eagles,Court 2,26/04/2026 14:00
Under 14's,Little Sutton,Turnford Black,Court 3,26/04/2026 14:00
Under 15's,Real Beds,Blaze Elite,Court 4,26/04/2026 14:00
Under 13's,Barr Beacon,Real Beds,Court 2,26/04/2026 14:10
Under 14's,Hatfield,Real Beds,Court 3,26/04/2026 14:10
Under 15's,Wodson Park,AP Saints,Court 4,26/04/2026 14:10
Under 12's,Turnford Yellow,Little Sutton,Court 1,26/04/2026 14:20
Under 13's,Eagles,Magic,Court 2,26/04/2026 14:20
Under 14's,Turnford Black,Magic,Court 3,26/04/2026 14:20
Under 15's,Durham,Magic,Court 4,26/04/2026 14:20
Under 13's,Poole,Swan,Court 2,26/04/2026 14:30
Under 14's,Wodson Park,Durham,Court 3,26/04/2026 14:30
Under 15's,Marlow Kites Wildcats,Swan,Court 4,26/04/2026 14:30
Under 12's,MK Dons,AP Saints,Court 1,26/04/2026 14:40
Under 13's,MK Dons,Magic,Court 2,26/04/2026 14:40
Under 14's,MK Dons,Magic,Court 3,26/04/2026 14:40
Under 15's,Blaze Elite,MK Dons,Court 4,26/04/2026 14:40
Under 13's,Barr Beacon,Hatfield,Court 2,26/04/2026 14:50
Under 14's,Hatfield,Little Sutton,Court 3,26/04/2026 14:50
Under 15's,Clan,AP Saints,Court 4,26/04/2026 14:50
Under 15's,Clan,Swan,Court 1,26/04/2026 15:00
Under 15's,Blaze Elite,Marlow Kites Wildcats,Court 2,26/04/2026 15:00
Under 15's,Wodson Park,Durham,Court 3,26/04/2026 15:00
Under 15's,Real Beds,Magic,Court 4,26/04/2026 15:00
Under 12's,MK Dons,Magic,Court 1,26/04/2026 15:10
Under 12's,Durham,Little Sutton,Court 2,26/04/2026 15:10
Under 12's,Clan,Turnford Yellow,Court 3,26/04/2026 15:10
Under 15's,AP Saints,Swan,Court 4,26/04/2026 15:10
Under 15's,Durham,Marlow Kites Wildcats,Court 4,26/04/2026 15:20
Under 15's,Wodson Park,Real Beds,Court 2,26/04/2026 15:30
Under 15's,Magic,Swan,Court 3,26/04/2026 15:30
Under 15's,MK Dons,AP Saints,Court 4,26/04/2026 15:30
