age group,home team,away team,court number,date and time
Under 13's,Marlow Kites,BB Sparklers,Court 3,25/04/2026 13:00
Under 14's,Swan,Lyndon Gems,Court 4,25/04/2026 13:00
Under 11's,Durham,Market H Wildcats,Court 1,25/04/2026 13:10
Under 12's,Durham,Woodley,Court 2,25/04/2026 13:10
Under 13's,Durham,AP Saints,Court 3,25/04/2026 13:10
Under 14's,MK Netters,AP Saints,Court 4,25/04/2026 13:10
Under 15's,Market H Lunars,MK Netters,Court 1,25/04/2026 13:20
Under 15's,Lyndon Crystals,Durham,Court 2,25/04/2026 13:20
Under 15's,Barr Beacon Blaze,Hatfield,Court 3,25/04/2026 13:20
Under 14's,Barr Beacon,JMs White,Court 4,25/04/2026 13:20
Under 14's,Market H Rockets,Durham,Court 4,25/04/2026 13:30
Under 11's,Turnford,MK Netters,Court 1,25/04/2026 13:40
Under 12's,MK Netters,Lyndon Corals,Court 2,25/04/2026 13:40
Under 13's,MK Netters,Lyndon Emeralds,Court 3,25/04/2026 13:40
Under 14's,MK Netters,JMs White,Court 4,25/04/2026 13:40
Under 11's,Hertford Hornets,Lyndon Centre Sapphires,Court 1,25/04/2026 13:50
Under 12's,BB Stars,Little Sutton Ice,Court 2,25/04/2026 13:50
Under 13's,Turnford,RV Leapers,Court 3,25/04/2026 13:50
Under 14's,Swan,Barr Beacon,Court 4,25/04/2026 13:50
Under 11's,Norfolk United,Little Sutton Green,Court 1,25/04/2026 14:00
Under 12's,Marlow Kites,AP Saints,Court 2,25/04/2026 14:00
Under 13's,Norfolk United,BB Sparklers,Court 3,25/04/2026 14:00
Under 14's,Norfolk United,Lyndon Gems,Court 4,25/04/2026 14:00
Under 11's,Hatfield,Market H Wildcats,Court 1,25/04/2026 14:10
Under 12's,Swan,Woodley,Court 2,25/04/2026 14:10
Under 13's,Olney Galaxy,AP Saints,Court 3,25/04/2026 14:10
Under 14's,AP Saints,Durham,Court 4,25/04/2026 14:10
Under 11's,Sparks,Durham,Court 1,25/04/2026 14:20
Under 12's,Sparks,Durhan,Court 2,25/04/2026 14:20
Under 13's,Marlow Kites,Durham,Court 3,25/04/2026 14:20
Under 14's,Barr Beacon,Lyndon Gems,Court 4,25/04/2026 14:20
Under 15's,MK Netters,Duraham,Court 1,25/04/2026 14:30
Under 15's,Market H Lunars,Hatfield,Court 2,25/04/2026 14:30
Under 15's,Lyndon Crystals,Barr Beacon Blaze,Court 3,25/04/2026 14:30
Under 14's,MK Netters,Durham,Court 4,25/04/2026 14:30
Under 14's,JMs White,Swan,Court 4,25/04/2026 14:40
Under 11's,MK Netters,Lyndon Centre Sapphires,Court 1,25/04/2026 14:50
Under 11's,Turnford,Little Sutton Green,Court 2,25/04/2026 14:50
Under 11's,Hertford Hornets,Market H Wildcats,Court 3,25/04/2026 14:50
Under 11's,Norfolk United,Durham,Court 4,25/04/2026 14:50
Under 12's,MK Netters,Little Sutton Ice,Court 1,25/04/2026 15:00
Under 12's,Lyndon Crystals,AP Saints,Court 2,25/04/2026 15:00
Under 12's,BB Stars,Woodley,Court 3,25/04/2026 15:00
Under 12's,Marlow Kites,Durham,Court 4,25/04/2026 15:00
Under 13's,MK Netters,RV Leapers,Court 1,25/04/2026 15:10
Under 13's,Lyndon Emeralds,BB Sparklers,Court 2,25/04/2026 15:10
Under 13's,Turnford,AP Saints,Court 3,25/04/2026 15:10
Under 13's,Norfolk United,Durham,Court 4,25/04/2026 15:10
Under 11's,Hatfield,Sparks,Court 5,25/04/2026 14:50
Under 11's,Little Sutton Green,MK Netters,Court 1,25/04/2026 15:20
Under 11's,Lyndon Centre Sapphires,Market H Wildcats,Court 2,25/04/2026 15:20
Under 11's,Turnford,Durham,Court 3,25/04/2026 15:20
Under 12's,MK Netters,AP Saints,Court 1,25/04/2026 15:30
Under 12's,Little Sutton Ice,Woodley,Court 2,25/04/2026 15:30
Under 12's,Lyndon Crystals,Durham,Court 3,25/04/2026 15:30
Under 12's,BB Stars,Sparks,Court 4,25/04/2026 15:30
Under 13's,MK Netters,BB Sparklers,Court 1,25/04/2026 15:40
Under 13's,RV Leapers,AP Saints,Court 2,25/04/2026 15:40
Under 13's,Lyndon Emeralds,Durham,Court 3,25/04/2026 15:40
Under 13's,Turnford,Marlow Kites,Court 4,25/04/2026 15:40
Under 11's,Hertford Hornets,Sparks,Court 4,25/04/2026 15:20
Under 11's,Norfolk United,Hatfield,Court 5,25/04/2026 15:20
Under 11's,MK Netters,Market H Wildcats,Court 1,25/04/2026 15:50
Under 11's,Little Sutton Green,Durham,Court 2,25/04/2026 15:50
Under 12's,MK Netters,Woodley,Court 1,25/04/2026 16:00
Under 12's,AP Saints,Durham,Court 2,25/04/2026 16:00
